24.187502,24.1875,24.1875,24.1875,24.1875,4.150781
24.312502,24.3125,24.3125,24.3125,24.3125,4.157227
24.500002,24.5,24.5,24.5,24.5,4.144336
24.625002,24.625,24.625,24.625,24.625,4.157227
24.812502,24.8125,24.8125,24.8125,24.8125,4.150781
24.937502,24.9375,24.9375,24.9375,24.9375,4.157227
25.062502,25.0625,25.0625,25.0625,25.0625,4.157227
25.187502,25.1875,25.1875,25.1875,25.1875,4.157227
25.375002,25.375,25.375,25.375,25.375,4.150781
25.562502,25.5625,25.5625,25.5625,25.5625,4.150781
25.750002,25.75,25.75,25.75,25.75,4.150781
25.875002,25.875,25.875,25.875,25.875,4.157227
26.125002,26.125,26.125,26.125,26.125,4.157227
26.312502,26.3125,26.3125,26.3125,26.3125,4.150781
26.500002,26.5,26.5,26.5,26.5,4.150781
26.687502,26.6875,26.6875,26.6875,26.6875,4.157227
26.937502,26.9375,26.9375,26.9375,26.9375,4.150781
27.125002,27.125,27.125,27.125,27.125,4.150781
27.312502,27.3125,27.3125,27.3125,27.3125,4.150781
27.500002,27.5,27.5,27.5,27.5,4.150781
27.625002,27.625,27.625,27.625,27.625,4.150781
27.812502,27.8125,27.8125,27.8125,27.8125,4.150781
28.000002,28,28,28,28,4.150781
28.187502,28.1875,28.1875,28.1875,28.1875,4.150781
28.375002,28.375,28.375,28.375,28.375,4.150781
28.500002,28.5,28.5,28.5,28.5,4.150781
28.687502,28.6875,28.6875,28.6875,28.6875,4.150781
28.875002,28.875,28.875,28.875,28.875,4.150781
29.000002,29,29,29,29,4.150781
29.125002,29.125,29.125,29.125,29.125,4.150781
29.250002,29.25,29.25,29.25,29.25,4.150781
29.375002,29.375,29.375,29.375,29.375,4.150781
29.437502,29.4375,29.4375,29.4375,29.4375,4.150781
